sector,avg_price,avg_price_per_sqft,avg_area,listings
sector 67,3.122340425531915,13337.72340425532,2042.340425531915,47
sector 67a,1.4185714285714286,10049.857142857143,1364.4285714285713,21
sector 68,1.2476666666666667,8914.7,1340.0666666666666,30
sector 69,1.5683870967741933,9225.301075268817,1579.731182795699,93
sector 7,1.7362857142857144,11287.6,1275.4571428571428,35
sector 70,1.6304081632653062,8740.795918367347,1732.0,49
sector 71,0.9485185185185185,7717.111111111111,1223.4814814814815,27
sector 72,4.163448275862069,12788.655172413793,3101.9310344827586,29
sector 73,6.3,16116.666666666666,4022.0,3
sector 74,1.7722222222222224,11790.833333333334,1490.0,18
sector 76,1.682,9250.266666666666,1793.7333333333333,15
sector 77,1.3251851851851852,7731.2962962962965,1553.2222222222222,27
sector 78,1.18625,6397.4375,1701.0,16
sector 79,1.3844736842105263,8507.421052631578,1516.2894736842106,76
sector 8,0.7457142857142857,8570.0,641.4285714285714,7
sector 80,1.27,7498.2,1632.8,5
sector 81,1.9245977011494253,9317.632183908046,1846.7241379310344,87
sector 82,2.0995121951219513,9241.951219512195,1955.9756097560976,41
sector 82a,2.304736842105263,10120.894736842105,2359.4210526315787,19
sector 83,1.2632352941176472,7637.470588235294,1536.235294117647,68
sector 84,0.965,6386.666666666667,1419.9375,48
sector 85,1.5000925925925925,7934.37037037037,1820.8055555555557,108
sector 86,1.2017741935483872,7600.870967741936,1513.967741935484,62
sector 88a,1.3285714285714285,9010.142857142857,1382.3333333333333,21
sector 88b,0.9800000000000001,7441.0,1333.3333333333333,3
sector 89,1.0914285714285714,8711.510204081633,1328.469387755102,49
sector 9,1.4641666666666666,10369.25,1205.9166666666667,12
sector 90,1.201685393258427,6375.516853932584,1747.5056179775281,89
sector 91,1.648235294117647,7586.117647058823,2028.6470588235295,17
sector 92,0.9293,5935.5,1562.9417999999998,100
sector 93,0.8488888888888888,8009.888888888889,1017.0,9
sector 95,0.4870833333333333,5345.104166666667,1046.375,48
sector 99,1.4883333333333333,6798.25,1802.6666666666667,12
sector 99a,0.8160000000000001,6257.733333333334,1188.8333333333333,30
